Date,Open,High,Low,Close,Volume,RSI,SSO,SMA,S-Open,S-High,S-Low,S-Close
09/02/2015,245.3,247.88,239.78,247.69,4629174,50.8364510787,76.0070760677,77.0078342178,0.015,1.313,-0.093,1.313
09/03/2015,252.06,252.08,245,245.57,4194772,49.6689695312,74.2431134698,75.5521859995,1.984,2.214,1.502,1.502
09/04/2015,240.89,244.09,238.2,241.93,3689153,47.6457224474,75.91104372,75.3870777525,0.541,0.541,0.057,0.343
09/08/2015,245.05,249.16,244.05,248.17,3138231,51.3075139388,76.2692989117,75.4744853672,-0.063,0.553,-0.098,0.154
09/09/2015,252.05,254.25,248.303,248.91,3390788,51.7386090406,80.4019838162,77.5274421493,1.481,2.464,1.481,2.363
09/10/2015,247.23,250.7231,245.33,248.48,2709024,51.4535414594,86.5319320938,81.0677382739,0.899,0.922,-0.208,-0.042
09/11/2015,247.64,250.24,244.73,250.24,2350844,52.6046019637,90.4253544621,85.7864234574,0.128,0.609,-0.049,0.534
09/14/2015,251.1,254.25,249.67,253.19,2890851,54.5498283763,91.8790008786,89.6120958115,-0.64,-0.04,-0.704,-0.167
09/15/2015,252.75,254.6,249.5,253.57,2933466,54.8071345023,94.3456025355,92.2166526254,0.056,0.704,0.056,0.616
09/16/2015,253.04,262.88,252.88,262.25,4417081,60.3314864327,96.6020730059,94.2755588067,-0.202,2.16,-0.231,2.092
09/17/2015,263.96,265.5,260.69,262.07,3585812,60.167235072,94.5621751299,95.1699502238,1.801,1.801,1.001,1.072
09/18/2015,257.96,263.82,257.5,260.62,3763064,58.7789865334,89.9697071693,93.711318435,0.952,2.045,0.947,1.87
09/21/2015,263.98,271.57,255.8,264.2,6120155,61.1616755549,82.893301331,89.1417278767,-0.319,1.742,-0.342,1.528
09/22/2015,259.03,262.65,255.87,260.94,3664353,57.8807090408,76.2901554404,83.0510546469,0.969,1.024,-0.553,-0.355
09/23/2015,261.95,262.08,257.5838,261.06,2600778,57.9700867556,71.8669824354,77.0168130689,-1.322,0.34,-1.406,0.34
09/24/2015,259.53,263.45,256.21,263.12,3448191,59.5566801802,70.4425132354,72.8665503704,0.087,0.336,-0.619,0.243
09/25/2015,266.61,266.91,256.15,256.91,3773392,53.0547741323,64.3326967961,68.8807308223,-0.426,0.644,-0.456,-0.029
