date,open,high,low,close,volume,X1,X2
4/15/16,60.24,60.6246,60.01,60.51,5965310,59.95941091,0.267825
4/18/16,60.69,61.07,60.355,60.89,7228573,60.04803844,0.008875
4/19/16,61.16,61.25,60.48,60.9,7283570,60.12917763,0.5051
4/20/16,61.04,61.43,60.85,60.9,5558770,60.20258929,1.189775
4/21/16,60.9,61.1,60.48,60.64,12799083,60.24424745,2.58585
4/22/16,59.01,59.1,57.03,57.68,29836693,60.00003341,0.15935
4/25/16,57.62,57.96,57.58,57.77,8428038,59.78764927,-0.19945
4/26/16,58.05,58.67,57.56,57.72,8839067,59.5907303,-0.0848
4/27/16,57.51,57.65,56.62,56.9,12390767,59.33447027,-0.524575
4/28/16,56.59,57.36,56.32,56.42,9196560,59.05690167,0.4902
4/29/16,56.02,56.43,55.29,56.23,12133364,58.78767294,-0.2026
5/2/16,56.29,57.37,56.11,57.36,8616189,58.65170409,-0.5554
5/3/16,56.7,57.059,56.14,56.25,7854260,58.42297037,0.471475
5/4/16,55.98,56.65,55.8,56.39,6508507,58.22935414,-0.002925
5/5/16,56.37,56.77,56.01,56.25,6215367,58.04084422,-0.80115
5/6/16,55.96,56.32,55.38,56.31,6378690,57.87600192,-0.18995
5/9/16,56.32,56.93,56.23,56.64,5976229,57.75828745,-0.367575
5/10/16,56.85,57.6,56.71,57.49,7931185,57.73273626,0.194225
5/11/16,57.13,57.39,56.09,56.23,8118920,57.58961852,0.727175
5/12/16,56.57,56.79,55.82,56.3,6870281,57.46679771,1.310925
5/13/16,56.43,56.6,55.73,55.82,5466041,57.30995983,-0.22415
5/16/16,55.7,55.77,55.2,55.53,9536192,57.14043985,-0.149925
5/17/16,55.38,55.64,54.51,54.88,10530018,56.92515986,1.48605
5/18/16,54.76,55.17,54.38,54.8,7468496,56.72276369,-0.205975
5/19/16,54.43,54.615,54.19,54.55,7582848,56.51583381,-0.61795
5/20/16,54.88,55.3736,54.58,54.62,8430783,56.33527821,-1.3633
5/23/16,54.62,54.8171,54.291,54.6,7352054,56.17001362,0.624825
5/24/16,54.74,55.62,54.68,55.44,7748697,56.10048851,1.603175
5/25/16,55.2,55.46,54.95,55.15,8126058,56.0099658,1.0431
5/26/16,55.55,55.8699,54.95,55.29,9451708,55.94139763,0.5595
5/27/16,55.36,55.55,55.1,55.15,6631120,55.86602642,0.392025
5/31/16,55.5,55.5,54.7,54.89,12043976,55.77307153,-2.417425
6/1/16,54.76,55.49,54.72,54.82,8761577,55.68230281,-0.3002
6/2/16,54.9,55,54.455,54.62,8307488,55.58113111,0.444525
6/3/16,54.71,55.08,54.4,54.61,6649224,55.48864244,1.117075
6/6/16,54.72,55.87,54.69,55.59,9900917,55.49829554,1.2848
6/7/16,55.65,56.1,55.28,55.3,7173072,55.47941025,1.501325
6/8/16,55.5,55.5,54.9,55.22,7623851,55.45470451,-0.7219
6/9/16,55.15,55.61,55.06,55.58,5927854,55.46663741,0.3942
6/10/16,54.92,55.2,54.5,54.865,8118651,55.40933861,0.314675
6/13/16,54.79,55.6,54.76,55.04,7928722,55.37416351,1.57415
6/14/16,55.05,55.58,55.0101,55.57,8036517,55.3928146,-0.119375
6/15/16,55.64,56.09,55.27,55.35,7447317,55.38873702,0.89925
6/16/16,54.9,55.59,54.41,55.53,7968033,55.40219064,0.49925
6/17/16,55.61,55.62,55.04,55.31,9503017,55.39341058,0.03095
6/20/16,55.77,56.28,55.38,55.38,7286681,55.39213338,0.012175
6/21/16,55.52,56.03,55.45,55.81,7445109,55.4319302,0.6282
6/22/16,55.88,55.98,55.49,55.61,7215411,55.44888923,0.994325
6/23/16,55.98,56.195,55.9,56.13,5569431,55.51375692,-1.4208
6/24/16,54.05,55.57,54.01,54.68,14654672,55.4343515,-0.330275
6/27/16,54.2,54.48,53.41,53.69,11650798,55.26822279,-1.247175
6/28/16,54.1,54.9,53.95,54.85,8416950,55.22839204,0.3124
6/29/16,55.42,56.945,55.36,56.74,11103787,55.37235471,1.609875
6/30/16,56.81,57.19,56.516,57.12,10215193,55.53879712,1.521675
7/1/16,57.04,57.36,56.845,56.99,8330308,55.67700691,1.0002
7/5/16,56.81,56.96,56.55,56.77,7274208,55.78110149,-1.41215
7/6/16,56.52,57.11,56.32,56.75,8474188,55.87337754,1.363875
